name,attack,base_egg_steps,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,type1,type2,speed,is_legendary
Swablu,40,5120,255.0,60,600000,45,40,75,normal,flying,50,False
Budew,30,5120,255.0,35,1059860,40,50,70,grass,poison,55,False
Minun,40,5120,200.0,50,1000000,60,75,85,electric,,95,False
Metapod,20,3840,120.0,55,1000000,50,25,25,bug,,30,False
Chikorita,49,5120,45.0,65,1059860,45,49,65,grass,,45,False
Pinsir,155,6400,45.0,120,1250000,65,65,90,bug,,105,False
Cinccino,95,3840,60.0,60,800000,75,65,60,normal,,115,False
Elgyem,55,5120,255.0,55,1000000,55,85,55,psychic,,30,False
Foongus,55,5120,190.0,45,1000000,69,55,55,grass,poison,15,False
Ariados,90,3840,90.0,70,800000,70,60,70,bug,poison,40,False
Aipom,70,5120,45.0,55,800000,55,40,55,normal,,85,False
Accelgor,70,3840,75.0,40,1000000,80,100,60,bug,,145,False
Dialga,120,30720,3.0,120,1250000,100,150,100,steel,dragon,90,True
Starly,55,3840,255.0,30,1059860,40,30,30,normal,flying,60,False
Ledyba,20,3840,255.0,30,800000,40,40,80,bug,flying,55,False
Politoed,75,5120,45.0,75,1059860,90,90,100,water,,70,False
Dodrio,110,5120,45.0,70,1000000,60,60,60,normal,flying,110,False
Aggron,140,8960,45.0,230,1250000,70,60,80,steel,rock,50,False
Mankey,80,5120,190.0,35,1000000,40,35,45,fighting,,70,False
Hitmonlee,120,6400,45.0,53,1000000,50,35,110,fighting,,87,False
Oshawott,55,5120,45.0,45,1059860,55,63,45,water,,45,False
Cyndaquil,52,5120,45.0,43,1059860,39,60,50,fire,,65,False
Goldeen,67,5120,225.0,60,1000000,45,35,50,water,,63,False
Swinub,50,5120,225.0,40,1250000,50,30,30,ice,ground,50,False
Nihilego,53,30720,45.0,47,1250000,109,127,131,rock,poison,103,True
Mudkip,70,5120,45.0,50,1059860,50,50,50,water,,40,False
Sewaddle,53,3840,255.0,70,1059860,45,40,60,bug,grass,42,False
Weezing,90,5120,60.0,120,1000000,65,85,70,poison,,60,False
Grumpig,45,5120,60.0,65,800000,80,90,110,psychic,,80,False
Lopunny,136,5120,60.0,94,1000000,65,54,96,normal,,135,False
Togepi,20,2560,190.0,65,800000,35,40,65,fairy,,20,False
Teddiursa,80,5120,120.0,50,1000000,60,50,50,normal,,40,False
Lampent,40,5120,90.0,60,1059860,60,95,60,ghost,fire,55,False
Palkia,120,30720,3.0,100,1250000,90,150,120,water,dragon,100,True
Shroomish,40,3840,255.0,60,1640000,60,40,60,grass,,35,False
Porygon-Z,80,5120,30.0,70,1000000,85,135,75,normal,,90,False
Flygon,100,5120,45.0,80,1059860,80,80,80,ground,dragon,100,False
Tynamo,55,5120,190.0,40,1250000,35,45,40,electric,,60,False
Machop,80,5120,180.0,50,1059860,70,35,35,fighting,,35,False
Zekrom,150,30720,3.0,120,1250000,100,120,100,dragon,electric,90,True
Wigglytuff,70,2560,50.0,45,800000,140,85,50,normal,fairy,45,False
Heracross,185,6400,45.0,115,1250000,80,40,105,bug,fighting,75,False
Archeops,140,7680,45.0,65,1000000,75,112,65,rock,flying,110,False
Gyarados,155,1280,45.0,109,1250000,95,70,130,water,flying,81,False
Gliscor,95,5120,30.0,125,1059860,75,45,75,ground,flying,95,False
Tranquill,77,3840,120.0,62,1059860,62,50,42,normal,flying,65,False
Gardevoir,85,5120,45.0,65,1250000,68,165,135,psychic,fairy,100,False
Azelf,125,20480,3.0,70,1250000,75,125,70,psychic,,115,True
Regice,50,20480,3.0,100,1250000,80,100,200,ice,,50,True
Roselia,60,5120,150.0,45,1059860,50,100,80,grass,poison,65,False
Chimecho,50,6400,45.0,80,800000,75,95,90,psychic,,65,False
Bounsweet,30,5120,235.0,38,1059860,42,30,38,grass,,32,False
Pikachu,55,2560,190.0,40,1000000,35,50,50,electric,,90,False
Articuno,85,20480,3.0,100,1250000,90,95,125,ice,flying,85,True
Machoke,100,5120,90.0,70,1059860,80,50,60,fighting,,45,False
Gumshoos,110,3840,127.0,60,1000000,88,55,60,normal,,45,False
Pikipek,75,3840,255.0,30,1000000,35,30,30,normal,flying,65,False
Cloyster,95,5120,60.0,180,1250000,50,85,45,water,ice,70,False
Crawdaunt,120,3840,155.0,85,1640000,63,90,55,water,dark,55,False
Whismur,51,5120,190.0,23,1059860,64,51,23,normal,,28,False
Silcoon,35,3840,120.0,55,1000000,50,25,25,bug,,15,False
Chandelure,55,5120,45.0,90,1059860,60,145,90,ghost,fire,80,False
Jumpluff,55,5120,45.0,70,1059860,75,55,95,grass,flying,110,False
Amoonguss,85,5120,75.0,70,1000000,114,85,80,grass,poison,30,False
Victreebel,105,5120,45.0,65,1059860,80,100,70,grass,poison,70,False
Metagross,145,10240,3.0,150,1250000,80,105,110,steel,psychic,110,False
Braixen,59,5120,45.0,58,1059860,59,90,70,fire,,73,False
Tapu Bulu,130,3840,3.0,115,1250000,70,85,95,grass,fairy,75,True
Magikarp,10,1280,255.0,55,1250000,20,15,20,water,,80,False
Simisear,98,5120,75.0,63,1000000,75,98,63,fire,,101,False
Charjabug,82,3840,120.0,95,1000000,57,55,75,bug,electric,36,False
Ducklett,44,5120,190.0,50,1000000,62,44,50,water,flying,55,False
Eelektrik,85,5120,60.0,70,1250000,65,75,70,electric,,40,False
Gallade,165,5120,45.0,95,1250000,68,65,115,psychic,fighting,110,False
Fletchling,50,3840,255.0,43,1059860,45,40,38,normal,flying,62,False
Murkrow,85,5120,30.0,42,1059860,60,85,42,dark,flying,91,False
Noctowl,50,3840,90.0,50,1000000,100,86,96,normal,flying,70,False
Anorith,95,7680,45.0,50,600000,45,40,50,rock,bug,75,False
Forretress,90,5120,75.0,140,1000000,75,60,60,bug,steel,40,False
Nidorino,72,5120,120.0,57,1059860,61,55,55,poison,,65,False
Ferroseed,50,5120,255.0,91,1000000,44,24,86,grass,steel,10,False
Chingling,30,6400,120.0,50,800000,45,65,50,psychic,,45,False
Duskull,40,6400,190.0,90,800000,20,30,90,ghost,,25,False
Mimikyu,90,5120,45.0,80,1000000,55,50,105,ghost,fairy,96,False
Fearow,90,3840,90.0,65,1000000,65,61,61,normal,flying,100,False
Reshiram,120,30720,3.0,100,1250000,100,150,120,dragon,fire,90,True
Magnemite,35,5120,190.0,70,1000000,25,95,55,electric,steel,45,False
Huntail,104,5120,60.0,105,600000,55,94,75,water,,52,False
Ambipom,100,5120,45.0,66,800000,75,60,66,normal,,115,False
